date,Bent,Boulder,Conejos,Crowley,Delta,El Paso,Elbert,Gunnison,Hinsdale,Huerfano,Kit Carson,Larimer,Lincoln,Logan,Mineral,Moffat,Montrose,Otero,Pueblo,San Miguel,Adams,Broomfield,Custer,Douglas,Routt,Yuma,Alamosa,Archuleta,Chaffee,Eagle,Garfield,Grand,Jefferson,Las Animas,Park,Prowers,Rio Grande,Saguache,Teller,Unknown,Weld,Cheyenne,Costilla,Denver,Fremont,Gilpin,Jackson,La Plata,Lake,Mesa,Morgan,Ouray,Phillips,Pitkin,Rio Blanco,San Juan,Summit,Washington,Clear Creek,Montezuma,Baca,Arapahoe
05/20/2020,1,878,1,42,55,1386,48,176,3,3,26,512,3,489,2,6,136,13,220,22,2737,215,2,659,59,11,43,8,69,572,114,5,1932,4,20,11,8,18,32,39,2338,5,3,4858,25,3,0,72,27,50,579,7,10,57,1,2,194,11,16,30,12,3889
05/21/2020,1,890,1,43,57,1428,48,177,3,3,26,517,3,490,2,6,147,14,230,23,2759,218,2,663,59,12,51,8,69,577,114,5,1974,4,21,11,14,20,33,61,2358,5,3,4948,26,3,0,83,27,50,586,7,10,57,1,2,195,15,16,30,12,3943
05/22/2020,2,898,1,44,61,1460,48,177,3,3,26,520,3,491,2,6,152,14,233,23,2802,220,2,669,59,12,51,8,69,577,120,5,1999,5,21,11,15,23,32,63,2367,5,3,5056,26,3,0,73,27,50,591,7,10,57,1,1,197,15,16,35,12,3974
05/23/2020,2,923,1,57,65,1493,48,178,3,3,26,530,3,493,2,6,159,14,260,23,2856,220,2,675,59,15,55,8,70,580,120,6,2030,5,23,12,16,24,32,94,2391,5,3,5151,26,3,0,76,27,54,603,8,12,57,1,1,203,30,16,35,12,4027
05/24/2020,2,928,1,62,67,1505,48,180,3,3,26,537,3,582,2,6,159,14,263,23,2869,220,2,675,59,15,58,8,70,581,121,6,2040,5,23,12,16,25,32,91,2406,5,3,5173,26,3,0,77,27,55,604,8,12,57,1,1,207,31,16,35,12,4039
05/25/2020,2,932,1,63,67,1535,49,179,3,3,26,540,3,582,2,6,159,15,263,23,2908,221,2,678,59,18,58,8,71,577,123,7,2061,5,23,12,16,36,32,0,2412,5,3,5216,26,3,0,77,27,55,609,8,12,57,1,1,205,32,16,36,12,4075
05/26/2020,2,941,1,63,67,1581,49,179,3,3,26,544,3,582,2,7,163,15,264,23,2964,224,2,683,59,19,58,8,72,580,134,7,2090,5,23,12,16,36,32,0,2423,5,3,5269,26,3,0,79,27,55,613,8,12,57,1,1,212,32,16,36,12,4121
05/27/2020,2,947,1,63,67,1600,51,179,3,3,26,552,3,582,2,7,163,15,278,23,3006,226,2,695,61,19,58,8,71,580,135,8,2098,5,23,13,16,36,32,0,2430,5,5,5316,26,3,0,77,27,55,616,8,12,57,1,1,214,33,16,36,12,4166
05/28/2020,2,956,1,63,67,1636,51,179,3,3,26,567,3,585,2,7,163,18,278,23,3070,227,2,699,61,20,60,8,72,584,135,10,2123,5,23,13,16,36,32,0,2444,5,5,5434,26,3,0,77,27,55,620,8,12,57,1,1,213,33,16,37,12,4201
05/29/2020,2,964,1,63,68,1674,52,179,3,3,26,570,3,601,2,7,168,18,281,23,3142,232,2,705,61,36,65,8,72,586,137,12,2171,5,23,13,16,48,32,0,2472,5,6,5569,26,3,0,80,29,55,623,8,13,57,1,1,219,40,16,39,12,4254
05/30/2020,2,974,1,64,69,1717,52,177,3,3,26,576,3,602,2,7,169,18,289,23,3224,236,2,715,61,35,74,8,72,587,138,14,2196,5,23,13,23,79,32,0,2480,5,6,5690,26,3,0,80,29,54,628,8,13,58,1,1,224,40,16,43,12,4353
05/31/2020,2,980,2,64,69,1732,53,177,3,3,26,583,3,614,2,7,172,19,295,23,3258,240,2,720,62,35,76,8,72,587,139,14,2221,5,23,14,33,81,32,0,2488,5,6,5775,26,3,0,81,31,54,629,8,13,58,1,1,226,41,16,45,12,4394
06/01/2020,2,984,2,64,69,1748,53,177,3,3,26,589,3,619,2,7,177,19,297,23,3291,242,2,724,62,40,78,8,76,587,143,14,2244,5,23,14,35,89,33,0,2501,5,6,5802,26,3,0,82,31,55,630,8,14,58,1,1,231,41,17,46,12,4416
06/02/2020,2,986,2,64,71,1761,53,178,3,3,26,589,3,620,2,8,181,19,297,23,3338,244,2,726,62,40,82,8,77,590,148,15,2266,5,23,15,37,89,33,0,2505,5,6,5854,27,3,0,82,31,55,631,8,14,58,1,1,233,41,17,46,12,4453
